"Political Party","Surname","First Name","Other Names","Preferred Name","Initials","Courtesy Title","Salutation","Honorific","Gender","Parliament House Telephone","Parliament House Fax","State","Electorate","Electorate Office Postal Address","Electorate Office Postal Suburb","Electorate Office Postal State","Electorate Office Postal PostCode","Electorate Office Fax","Electorate Office Phone","Electorate Office Toll Free","Parliamentary Titles"
LP,Moylan,Judith,Eleanor,Judi,J. E.,Hon,Mrs,MP,FEMALE,(02) 6277 4171,(02) 6277 8400,WA,Pearce,PO Box 1005,Midland,WA,6936,(08) 9294 2888,(08) 9294 3222,,
LP,O'Dwyer,Kelly,Megan,Kelly,K. M.,Ms,Ms,MP,FEMALE,(02) 6277 4155,(02) 6277 8453,Vic,Higgins,"Suite 1, 1343 Malvern Road",Malvern,Vic,3144,(03) 9822 0319,(03) 9822 4422,,
LP,Prentice,Jane,,,J.,Mrs,Ms,MP,FEMALE,(02) 6277 4426,(02) 6277 8512,Qld,Ryan,PO Box 704,Indooroopilly,Qld,4069,(07) 3378 1399,(07) 3378 1599,,
LP,Pyne,Christopher,Maurice,,C. M.,Hon,Mr,MP,MALE,(02) 6277 4699,(02) 6277 8537,SA,Sturt,429 Magill Road,St Morris,SA,5068,(08) 8431 2288,(08) 8431 2277,,Manager of Opposition Business
LP,Ramsey,Rowan,Eric,,R. E.,Mr,Mr,MP,MALE,(02) 6277 4967,(02) 6277 8440,SA,Grey,PO Box 296,Port Pirie,SA,5540,(08) 8633 1749,(08) 8633 1744,1300 301 742,
LP,Randall,Don,James,,D. J.,Mr,Mr,MP,MALE,(02) 6277 2090,(02) 6277 8425,WA,Canning,PO Box 465,Kelmscott,WA,6991,(08) 9390 1255,(08) 9390 1211,,
LP,Robb,Andrew,John,,A. J.,Hon,Mr,"AO, MP",MALE,(02) 6277 2062,(02) 6277 8525,Vic,Goldstein,368 Centre Road,Bentleigh,Vic,3204,(03) 9557 2906,(03) 9557 4644,,
LP,Robert,Stuart,Rowland,,S. R.,Mr,Mr,MP,MALE,(02) 6277 2106,(02) 6277 8441,Qld,Fadden,PO Box 213,Oxenford,Qld,4210,(07) 5580 0366,(07) 5580 0355,,
LP,Roy,Wyatt,,Wyatt,W. B.,,Wyatt,MP,MALE,(02) 6277 4646,(02) 6277 8539,Qld,Longman,PO Box 825,Morayfield,Qld,4506,(07) 5428 6800,(07) 5428 7755,,
LP,Ruddock,Philip,Maxwell,,P. M.,Hon,Mr,MP,MALE,(02) 6277 4077,(02) 6277 8466,NSW,Berowra,PO Box 743,Pennant Hills,NSW,1715,(02) 9980 1833,(02) 9980 1822,,
LP,Schultz,Albert,John,Alby,A. J.,Mr,Mr,MP,MALE,(02) 6277 4386,(02) 6277 8482,NSW,Hume,PO Box 700,Goulburn,NSW,2580,(02) 4822 1029,(02) 4822 2277,,
LP,Secker,Patrick,Damien,,P. D.,Mr,Mr,MP,MALE,(02) 6277 4217,(02) 6277 8541,SA,Barker,37 Adelaide Road,Murray Bridge,SA,5253,(08) 8531 2124,(08) 8531 2466,1300 301 648,Opposition Whip
LP,Simpkins,Luke,Xavier Linton,,L. X. L.,Mr,Mr,MP,MALE,(02) 6277 4009,(02) 6277 8423,WA,Cowan,PO Box 219,Kingsway,WA,6065,(08) 9409 5100,(08) 9409 4100,,
LP,Slipper,Peter,Neil,,P. N.,Hon,Mr,MP,MALE,(02) 6277 4975,(02) 6277 8514,Qld,Fisher,PO Box 1224,Buddina,Qld,4575,(07) 5452 6655,(07) 5444 4888,1300 301 981,Deputy Speaker
LP,Smith,Anthony,David Hawthorn,Tony,A. D. H.,Hon,Mr,MP,MALE,(02) 6277 4284,(02) 6277 8439,Vic,Casey,"Suite 1, 1 East Ridge Drive",Chirnside Park,Vic,3116,(03) 9727 0833,(03) 9727 0799,,
LP,Somlyay,Alexander,Michael,,A. M.,Hon,Mr,MP,MALE,(02) 6277 4244,(02) 6277 8436,Qld,Fairfax,PO Box 1978,Sunshine Plaza,Qld,4558,(07) 5443 5333,(07) 5479 2800,,
LP,Southcott,Andrew,John,,A. J.,Dr,Dr,MP,MALE,(02) 6277 4283,(02) 6277 8476,SA,Boothby,760 Marion Road,Marion,SA,5043,(08) 8374 3071,(08) 8374 0511,,
LP,Stone,Sharman,Nancy,,S. N.,Hon Dr,Dr,MP,FEMALE,(02) 6277 4477,(02) 6277 8454,Vic,Murray,PO Box 884,Shepparton,Vic,3632,(03) 5821 8429,(03) 5821 5371,,
LP,Tehan,Daniel,Thomas,Dan,D. T.,Mr,Mr,MP,MALE,(02) 6277 4393,(02) 6277 8538,Vic,Wannon,190 Gray Street,Hamilton,Vic,3300,(03) 5572 1141,(03) 5572 1100,1300 131 692,
LP,Tudge,Alan,Edward,Alan,A. E.,Mr,Mr,MP,MALE,(02) 6277 4354,(02) 6277 8487,Vic,Aston,"Suite 4, Level 1, 420 Burwood Highway",Wantirna South,Vic,3152,(03) 9887 3893,(03) 9887 3890,,
LP,Turnbull,Malcolm,Bligh,,M. B.,Hon,Mr,MP,MALE,(02) 6277 4144,(02) 6277 8445,NSW,Wentworth,PO Box 545,Edgecliff,NSW,2027,(02) 9327 2533,(02) 9327 3988,,
LP,Van Manen,Albertus,Johannes,Bert,A. J.,Mr,Mr,MP,MALE,(02) 6277 4719,(02) 6277 8553,Qld,Forde,PO Box 884,Beenleigh,Qld,4207,(07) 3807 1990,(07) 3807 6340,,
LP,Vasta,Ross,Xavier,Ross,R. X.,Mr,Mr,MP,MALE,(02) 6277 4632,(02) 6277 8535,Qld,Bonner,69 Clara Street,Wynnum,Qld,4178,(07) 3893 3422,(07) 3893 3488,,
LP,Washer,Malcolm,James,Mal,M. J.,Dr,Dr,MP,MALE,(02) 6277 2114,(02) 6277 8587,WA,Moore,3 Boas Avenue,Joondalup,WA,6027,(08) 9300 2245,(08) 9300 2244,,
LP,Wyatt,Kenneth,George,Ken,K. G.,Mr,Mr,"AM, MP",MALE,(02) 6277 4707,(02) 6277 8552,WA,Hasluck,PO Box 325,Forrestfield,WA,6058,(08) 9359 0197,(08) 9359 0322,,
Nats,Chester,Darren,,,D.,Mr,Mr,MP,MALE,(02) 6277 4029,(02) 6277 8402,Vic,Gippsland,PO Box 486,Sale,Vic,3850,(03) 5144 3945,(03) 5144 6744,,
Nats,Christensen,George,Robert,George,G. R.,Mr,Mr,MP,MALE,(02) 6277 4538,(02) 6277 8508,Qld,Dawson,PO Box 1697,Mackay,Qld,4740,(07) 4944 0575,(07) 4944 0662,1300 301 979,
Nats,Cobb,John,Kenneth,,J. K.,Hon,Mr,MP,MALE,(02) 6277 4721,(02) 6277 8543,NSW,Calare,PO Box 673,Orange,NSW,2800,(02) 6362 3480,(02) 6361 7138,,
Nats,Coulton,Mark,Maclean,,M.,Mr,Mr,MP,MALE,(02) 6277 4607,(02) 6277 8504,NSW,Parkes,"Shop 3, 153 Brisbane Street",Dubbo,NSW,2830,(02) 6882 9935,(02) 6882 0999,,The Nationals Chief Whip
Nats,Forrest,John,Alexander,,J. A.,Mr,Mr,MP,MALE,(02) 6277 4550,(02) 6277 8532,Vic,Mallee,PO Box 487,Swan Hill,Vic,3585,(03) 5032 9407,(03) 5032 4510,,
Nats,Hartsuyker,Luke,,,L.,Mr,Mr,MP,MALE,(02) 6277 4447,(02) 6277 8410,NSW,Cowper,PO Box 2056,Coffs Harbour,NSW,2450,(02) 6651 4346,(02) 6652 6233,,
Nats,McCormack,Michael,Francis,Michael,M. F.,Mr,Mr,MP,MALE,(02) 6277 4725,(02) 6277 8563,NSW,Riverina,"Suite 2, 11-15 Fitzmaurice Street",Wagga Wagga,NSW,2650,(02) 6921 5900,(02) 6921 4600,,
Nats,Neville,Paul,Christopher,,P. C.,Mr,Mr,MP,MALE,(02) 6277 4940,(02) 6277 8559,Qld,Hinkler,PO Box 535,Bundaberg,Qld,4670,(07) 4153 1752,(07) 4152 0744,,The Nationals Deputy Whip
Nats,O'Dowd,Kenneth,Desmond,Ken,K. D.,Mr,Mr,MP,MALE,(02) 6277 4380,(02) 6277 8495,Qld,Flynn,76 Goondoon Street,Gladstone,Qld,4680,(07) 4972 0888,(07) 4972 5465,,
Nats,Scott,Bruce,Craig,,B. C.,Hon,Mr,MP,MALE,(02) 6277 4949,(02) 6277 8421,Qld,Maranoa,PO Box 641,Dalby,Qld,4405,(07) 4662 5149,(07) 4662 2715,1300 301 964,Second Deputy Speaker
Nats,Truss,Warren,Errol,,W. E.,Hon,Mr,MP,MALE,(02) 6277 4482,(02) 6277 8569,Qld,Wide Bay,PO Box 283,Maryborough,Qld,4650,(07) 4122 3968,(07) 4121 2936,,Leader of The Nationals
NatsWA,Crook,Anthony,John,Tony,A. J.,Mr,Mr,MP,MALE,(02) 6277 4105,(02) 6277 8471,WA,O'Connor,PO Box 10415,Kalgoorlie,WA,6433,(08) 9021 1506,(08) 9021 1241,1300 772 061,
